timestamp,rule_id,rule_level,rule_description,srcip,agent,label,campaign_type
2026-07-13T15:17:03.723+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:17:15.716+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:17:15.716+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:17:15.718+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:17:15.720+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:17:15.723+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:17:15.726+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:17:39.729+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:17:39.749+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:17:39.749+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:17:39.749+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:17:39.749+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:17:39.749+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:17:39.749+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:17:39.749+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:17:39.749+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:17:45.731+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:17:45.731+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:17:45.733+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:18:33.756+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:18:33.773+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:18:33.773+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:18:33.773+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:18:33.773+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:18:33.773+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:18:33.773+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:18:33.773+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:18:33.773+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:18:35.757+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:18:35.757+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:18:35.759+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:18:35.761+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:18:35.763+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:18:35.767+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:18:35.769+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:18:35.771+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:18:35.774+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:19:01.767+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:19:01.809+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:19:01.809+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:19:01.809+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:19:01.809+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:19:01.809+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:19:13.774+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:19:13.774+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:19:13.776+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:19:19.774+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:19:19.816+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:19:19.816+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:19:45.789+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:19:45.836+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:22:13.840+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:22:17.849+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:22:17.849+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:22:19.868+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:22:33.854+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:22:33.857+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:22:33.859+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:22:49.876+0000,5104,8,Interface entered in promiscuous(sniffing) mode.,,vbox,0,
2026-07-13T15:22:49.919+0000,5104,8,Interface entered in promiscuous(sniffing) mode.,,vbox,0,
2026-07-13T15:23:05.886+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:23:05.928+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:23:05.929+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:23:05.929+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:23:05.929+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:23:05.929+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:23:05.929+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:23:05.929+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:23:05.929+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:25:51.961+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:25:52.010+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:28:06.009+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:28:08.010+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:28:08.010+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:28:10.010+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:28:16.011+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:28:16.012+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:28:16.014+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:28:44.018+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:28:44.060+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:28:44.060+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:28:46.026+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:28:46.026+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:28:48.053+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:28:58.037+0000,5501,3,PAM: Login session opened.,,vbox,0,
2026-07-13T15:28:58.038+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:28:58.037+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:28:58.084+0000,5502,3,PAM: Login session closed.,,vbox,0,
2026-07-13T15:28:58.084+0000,5402,3,Successful sudo to ROOT executed.,,vbox,0,
2026-07-13T15:28:58.084+0000,5501,3,PAM: Login session opened.,,vbox,0,
